PID    MemAlloc  MemLimit    MemUsed     StackBase/Ptr              Process
-----  --------  ----------  ----------  -------------------------  ----------------
    1       228  0           2636        7ffffa040b40/0             init
1137    147856  0           2260752     7ffeca5d8a20/0             ptp
8431       364  0           2944        7fff3ab09140/0             rpcbind
8526       396  0           3468        7fff02e156f0/0             rpc.mountd
8536       532  0           3252        7fff27beae70/0             rpc.statd
9134       576  0           6516        7ffcacf5f220/0             sshd
10290       772  0           3308        7ffd8dd26d70/0             mcelog
10599       748  0           3660        7fffbd172190/0             crond
11479       304  0           3992        7ffedb56fe40/0             libvirtd_mon.sh
11480       304  0           3992        7ffc787a9110/0             sh
11481    111784  0           548352      7ffc0218ad50/0             sysmgr
11497       384  0           2824        7fffa1df1a50/0             inotifywait
11523    141532  0           233432      7ffd955615c0/0             libvirtd
13447    113604  0           681844      7ffe874e2aa0/0             vsh.bin
14990    113608  0           681848      7ffd87209f30/0             vsh.bin
15723       376  932889      3156        7fff05228fe0/0             xinetd
15724      8812  309842      12484           ffc14490/0             tftpd
15725      5636  637631      290864      7ffe2ef39270/0             sdwrapd
15727    113148  12582912    467052      7fffe6550ad0/0             fw_app
15729    155464  0           657392      7fff4724e900/0             platform
15764      1648  0           285064      7ffc07298d70/0             dme_bootup_proxy
15765      1648  0           285064      7ffd28953080/0             dme_proxy
15766    331276  0           1131468     7ffe7e70ca50/0             event_manager
15767     19740  0           305776      7ffc46b6e100/0             mts_telemetry_mgr
15768    329540  0           1189008     7ffc9dbe1090/0             policyelem
15835    151448  908750      648640      7fff23031240/0             syslogd
16040    111028  998532      536184      7fffed912910/0             vshd
16041    114832  12582912    749396      7ffd1130f3a0/0             template_manager
16042      6988  621316      297116      7ffc7e5df6c0/0             tamnw
16043    112288  1054614     718468      7ffd43be16d0/0             smm
16044    111328  840690      456276      7ffe07360790/0             psshelper
16045    461244  1074352     819688      7ffe23bf3c70/0             pixm_vl
16046    182956  1158854     618588      7ffff716c880/0             pixm_gl
16047    332684  12582912    1929508     7ffd8572b190/0             nginx_dme
16048    113508  12582912    746676      7ffe1872b320/0             mmode
16050    146288  958696      563136      7ffd7a3e08b0/0             kim
16051    115472  12582912    539512      7ffff8637950/0             fs-daemon
16052    121436  12582912    631556      7ffcdff630a0/0             feature-mgr
16053      2696  12582912    288384      7ffd0d8bde50/0             confcheck
16054    111092  884216      533656      7ffcea535a40/0             capability
16055    135584  807255      623852      7ffcace7e080/0             bloggerd
16056    111144  840690      453852      7ffd9ca46fc0/0             psshelper_gsvc
16057       776  0           12608       7ffee5e18620/0             tams_proc
16070    158736  12582912    1078516     7ffddc4f30c0/0             clis
16071    125316  820773      632152      7fff62a55e50/0             licmgr
16105       308  0           4036        7ffe2f1fdb50/0             sh
16110      2348  0           5252        7fffb6d450e0/0             top
16111       296  0           2924        7ffd21f63d10/0             grep
16126       712  0           12568       7ffdfb43c190/0             tamd_proc
16137      2092  12582912    286816      7ffe8de9e020/0             xmlma
16138    109268  821712      461100      7ffe2910dde0/0             vmm
16139       232  0           2624        7ffe85bf0560/0             klogd
16140     10016  12582912    358980      7ffce069df00/0             usbhsd
16141    109504  805859      531264      7ffe0a093720/0             ttyd
16142    134408  833176      669508      7ffd294f8f70/0             sysinfo
16143    110712  808893      466148      7ffd14f29150/0             snmpmib_proc
16144    110580  903815      537696      7ffe61155700/0             sksd
16146    127924  805476      552768      7fffaf329590/0             res_mgr
16147      4268  1947997     365268      7fffc5a63210/0             plugin
16148    118828  808690      600104      7ffca7848880/0             pltm
16149     93252  759206      379644      7ffc97778d70/0             plog_sup
16150    111004  12582912    590548      7ffe73e9e5a0/0             patch-installer
16151      4664  12582912    35712       7ffd30f5c380/0             nxapi
16152      3580  1145805     292020      7ffd96f12680/0             mvsh
16153    113300  12582912    537088      7fffa791b7d0/0             mts_mgr
16154      1964  12582912    287712      7ffc8dead8a0/0             mping_server
16155    135672  845591      579464      7ffe74fd38d0/0             module
16156    117772  12582912    670284      7ffe823300f0/0             lpss_shm_mon
16157    156332  783495      624616      7ffdd528ff80/0             issu_helper
16158    112392  796177      535716      7fff5864c2e0/0             evms
16159    206192  1011921     561024      7ffed3578550/0             epld_upgrade_stdby
16160     99880  731411      391400      7ffd9d898910/0             diagclient
16161    123580  0           2187348     7ffdc9cd5f70/0             dhclient
16162    111072  1174000     475972      7ffc52575e40/0             crdcfg_server
16163    106724  12582912    449820      7ffc2671e7e0/0             core-dmon
16164    112348  809632      546768      7fff5783abe0/0             clk_mgr
16165     91980  1362577     382124      7fffafc47e30/0             bios_daemon
16166    117576  12582912    794540      7fff4999cc90/0             ascii-cfg
16168    118168  12582912    556000      7ffe68e69830/0             securityd
16169    111544  12582912    542744      7ffd4a2cb870/0             cert_enroll
16171    112112  12582912    550252      7ffda80f2940/0             aaa
16173    108876  850476      463480      7fff4da3ea50/0             obfl
16198    150936  97918394    573224      7ffef3203150/0             device_test
16200    123320  12582912    549780      7ffc46a7bd70/0             xbar
16223    126344  1665917     561748      7ffec1b6f530/0             aclmgr
16296    137180  4384257     2217184     7ffe6b352d50/0             l3vm
16297    669648  14544896    2325072     7fffbe7a8a20/0             urib
16322      5672  877153      291920      7fffadf45780/0             evmc
16387    111500  854268      466708      7ffcb8752a50/0             ExceptionLog
16388    117300  854642      553432      7ffeb7ad6d50/0             bootvar
16391    111768  12582912    467292      7fffd0dadad0/0             cardclient
16393    116716  810496      541184      7ffdabd07d00/0             diagmgr
16394    184820  905114      625072      7ffd7fcadf60/0             ifmgr
16453    139212  1428025     553356      7ffd687bc630/0             npacl
16481    199096  0           2459632     7ffc7cc0a590/0             adjmgr
16483    296092  5777574     2472860     7ffd3c0993f0/0             u6rib
